Name,Arp,RA,Dec,Diam
,0223-520,36.343,-51.8884,0.1
,0223-245,36.4895,-24.712,0.3
,0223-614,36.2656,-61.5516,0.4
,0223-231,36.5035,-23.082,0.9
,0224-250,36.5973,-24.819,0.7
,0224-283,36.6054,-28.3507,0.3
,0224-711,36.2235,-70.9868,0.4
,0224-490,36.6345,-48.7942,0.8
,0224-725,36.3063,-72.7604,0.4
,0225-271,36.8553,-27.0997,0.4
,0225-280,36.8523,-27.9297,0.2
,0225-280,36.8943,-27.8115,0.8
,0225-624,36.7001,-62.4779,0.2
,0225-800,36.0992,-79.9237,0.6
,0225-424,36.8961,-42.4882,0.8
,0226-320,37.0822,-31.8804,0.6
,0226-483,37.0479,-48.3854,0.4
,0226-611,36.935,-60.9486,0.2
,0226-223,37.2381,-22.3491,1.6
,0226-540,37.1059,-53.9423,0.5
,0226-441,37.2078,-43.9475,1.0
,0227-264,37.3647,-26.5345,0.5
,0227-233,37.4346,-23.2814,0.1
,0227-484,37.321,-48.4912,1.1
,0227-443,37.3507,-44.3663,0.3
,0227-295,37.4403,-29.6364,0.3
,0227-471,37.3929,-47.0031,0.8
,0227-485,37.4069,-48.6648,0.4
,0227-545,37.3972,-54.7565,4.9
,0228-543,37.4994,-54.4435,0.1
,0228-342,37.6583,-34.2688,0.5
,0228-342,37.7042,-34.2239,0.3
,0228-465,37.6436,-46.7221,0.4
,0228-510,37.6274,-50.9055,0.8
,0228-234,37.7787,-23.5957,0.4
,0229-604,37.7182,-60.5275,0.4
,0229-580,37.7852,-57.9127,2.2
,0229-261,37.9945,-26.0514,0.5
,0229-444,37.9101,-44.5279,9.9
,0229-365,37.9592,-36.6713,1.2
,0230-581,37.9,-58.0164,0.4
,0230-295,38.1344,-29.6968,0.4
,0230-393,38.1709,-39.2987,1.1
,0230-524,38.0918,-52.5119,1.4
,0230-524,38.1251,-52.4936,1.4
,0306-424,47.0657,-42.6095,0.2
,0231-764,37.7064,-76.5998,0.3
,0231-434,38.3601,-43.5192,0.9
,0231-623,38.2279,-62.3558,0.5
,0231-335,38.4796,-33.6645,0.3
,0232-591,38.3943,-59.0012,0.4
,0232-401,38.5948,-40.0683,0.4
,0232-460,38.6783,-45.8419,0.9
,0233-453,38.872,-45.3991,0.4
,0233-503,38.8926,-50.3209,19.9
